"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"SBC_LI_SOAP TestSuite","DeleteInterception TestCase","DeleteInterception_102","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteInterception TestCase","DeleteInterception_114","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteInterception TestCase","DeleteInterception_115","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteInterception TestCase","Delete_Invalid_With_id_not_existed","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteInterception TestCase","Delete_Invalid_With_id_unset","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteInterception TestCase","Delete_Invalid_With_id_Is_String","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","ConnectionCheck TestCase","ConnectionCheck","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","ConnectionCheck TestCase","ConnectionCheck","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","ErrorResponse TestCase","ErrorResponse","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_With_Max_ID(4294967295)","request","FAILED","Message:[Contains] Missing token [<ns2:success>true</ns2:success>] in Response
Message:[Invalid HTTP Status Codes] Response status code: 500 is in invalid list of status codes
Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_With_Max_Port(65535)","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_With_IPv6","request","FAILED","Message:[Contains] Missing token [<ns2:success>true</ns2:success>] in Response
Message:[Invalid HTTP Status Codes] Response status code: 500 is in invalid list of status codes
Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_With_Network_IP","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_6th","request","FAILED","Message:[Contains] Missing token [<ns2:success>true</ns2:success>] in Response
Message:[Invalid HTTP Status Codes] Response status code: 500 is in invalid list of status codes
Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_7th","request","FAILED","Message:[Contains] Missing token [<ns2:success>true</ns2:success>] in Response
Message:[Invalid HTTP Status Codes] Response status code: 500 is in invalid list of status codes
Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_8th","request","FAILED","Message:[Contains] Missing token [<ns2:success>true</ns2:success>] in Response
Message:[Invalid HTTP Status Codes] Response status code: 500 is in invalid list of status codes
Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_9th","request","FAILED","Message:[Contains] Missing token [<ns2:success>true</ns2:success>] in Response
Message:[Invalid HTTP Status Codes] Response status code: 500 is in invalid list of status codes
Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_10th_Disa","request","FAILED","Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_11th_Disa","request","FAILED","Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Valid_DF_12th_Disa","request","FAILED","Message:[Valid HTTP Status Codes] Response status code:500 is not in acceptable list of status codes
","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_13th","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_ID_Existed","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_ID_Is_0","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_ID_Is_Unset","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_ID_Exceed_Max_Value(4294967296)","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Invalid_IP","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_IP_Is_Unset","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_IP_Is_0","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_IP_Is_String","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_IP_Is_Domain","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Port_Is_Unset","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Port_Is_0","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Port_Exceed_Max_Value(65536)","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Port_Is_String","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Name_Is_Unset","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Protocol_Is_udp","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Protocol_Is_ftp","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","AddDF TestCase","Add_Invalid_DF_With_Protocol_Is_1","request","OK","","08-Aug-2024 17_38",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Valid_DF_With_All_Valid_Values","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Valid_DF_With_Ipv4_To_Ipv6","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Valid_DF_With_Ipv6_To_Ipv4","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Valid_DF_With_Network_IP","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Valid_DF_With_Name_Is_0","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_DF_Not_Existed","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Protocol_Is_udp","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Protocol_Is_ftp","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Invalid_IP","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_IP_Is_Unset","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_IP_Is_0","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_IP_Is_String","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_IP_Is_Domain","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Port_Is_Unset","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Port_Is_0","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Port_Exceed_Max_value(65536)","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Port_Is_String","request","OK","","08-Aug-2024 17_39",
"SBC_LI_SOAP TestSuite","ModifyDF TestCase","Modify_Invalid_DF_With_Name_Is_Unset","request","OK","","08-Aug-2024 17_39",
